order_id,order_date,origin_port,carrier,tpt,service_level,ship_ahead_day_count,ship_late_day_count,customer,product_id,plant_code,destination_port,unit_quantity,weight
1.4471823977e9,2013-05-26,PORT04,V44_3,0,CRF,0,0,V5555555_30,1699540,PLANT03,PORT09,1837,2.8717492002246945
1.4471872767e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_25,1699946,PLANT03,PORT09,324,2.0364378331913198
1.4472415127e9,2013-05-26,PORT04,V44_3,2,CRF,3,0,V55555_2,1672034,PLANT03,PORT09,308,1.114933596901662
1.4471834077e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V55555_2,1667817,PLANT03,PORT09,2755,39.98
1.4471643847e9,2013-05-26,PORT04,V444_0,2,DTP,5,0,V55555555_7,1693626,PLANT03,PORT09,337,0.0707924100821297
1.4473734367e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V55555_2,1666954,PLANT03,PORT09,1258,10.14
1.4473238107e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555_26,1675655,PLANT03,PORT09,394,0.6833724032010343
1.4473890577e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V55555_2,1689031,PLANT03,PORT09,968,14.76
1.4473733947e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V55555_2,1664051,PLANT03,PORT09,20254,221.86697932210618
1.4473891767e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555_26,1658532,PLANT03,PORT09,267,0.4096364809636482
1.4472851507e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V55555555_5,1700142,PLANT03,PORT09,73102,84.49287742228572
1.4473298917e9,2013-05-26,PORT04,V444_1,1,DTD,0,0,V5555555_22,1660677,PLANT03,PORT09,680,23.114710289888144
1.4472813807e9,2013-05-26,PORT04,V444_0,2,DTP,5,0,V55555555_7,1669701,PLANT03,PORT09,5120,46.839999999999996
1.4471566887e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1660551,PLANT03,PORT09,257,0.1200792864222002
